headline_name,value,metric,target,regime,depth_scope,n_pairs,source_array,source_artifact,calculation_method,verified
Holdout Profiles,"1,116,650",count,all_grid_profiles,full_domain,vertical_columns,1116650,"ocean_mask (22,333 active cells) x 50 holdout dates",oceanembed_cube_with_climatology.nc,"22,333 * 50 = 1,116,650 vertical profiles",True
Holdout Model Depth Values,"16,749,750",count,model_output_tensor,full_domain,all_15_canonical_depths,16749750,"temp_pred_absolute (50, 100, 120, 15) at ocean_mask == 1",exports/oceanembed_model.keras + reconstructions.csv,"22,333 * 50 * 15 = 16,749,750 predictions",True
GLORYS Valid Paired Count,"16,064,650",count,GLORYS12V1 Reanalysis,full_domain,wet_cells_above_bathymetry,16064650,"temperature_3d [50 dates, ocean_mask == 1, 15 depths]",oceanembed_cube_with_climatology.nc,"Finite GLORYS points (16,749,750 minus 685,100 seafloor bathymetry NaNs)",True
ARGO Valid Paired Count,"25,904",count,Independent In-Situ ARGO,arabian_sea,depths_5m_to_1000m,25904,"argo_temperature_3d [50 dates, ocean_mask == 1, 15 depths]",oceanembed_cube_with_climatology.nc,Finite ARGO float matchups across 4 cycle dates in Arabian Sea,True
Overall GLORYS RMSE,1.4913°C,rmse,GLORYS12V1 Reanalysis,full_domain,all_15_canonical_depths,16064650,temp_pred_absolute vs temperature_3d,exports/final_model_performance_summary.csv,"sqrt(mean((pred - glorys)^2)) over 16,064,650 points",True
Arabian Sea GLORYS RMSE,1.6688°C,rmse,GLORYS12V1 Reanalysis,arabian_sea,all_15_canonical_depths,7664650,temp_pred_absolute vs temperature_3d (lon < 77°E),exports/final_model_performance_summary.csv,"sqrt(mean((pred - glorys)^2)) over 7,664,650 points",True
Bay of Bengal GLORYS RMSE,1.3084°C,rmse,GLORYS12V1 Reanalysis,bay_of_bengal,all_15_canonical_depths,8400000,temp_pred_absolute vs temperature_3d (lon >= 77°E),exports/final_model_performance_summary.csv,"sqrt(mean((pred - glorys)^2)) over 8,400,000 points",True
Overall ARGO RMSE,1.8488°C,rmse,Independent In-Situ ARGO,arabian_sea,all_15_canonical_depths,25904,temp_pred_absolute vs argo_temperature_3d,exports/final_model_performance_summary.csv,"sqrt(mean((pred - argo)^2)) over 25,904 points",True
GLORYS 0-100m Aggregate RMSE,1.6055°C,rmse,GLORYS12V1 Reanalysis,full_domain,0-100m aggregate (8 depths),8800800,temp_pred_absolute vs temperature_3d [depths 0..100m],exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - glorys)^2)) pooled across 8,800,800 pairs",True
GLORYS 125-300m Aggregate RMSE,1.6831°C,rmse,GLORYS12V1 Reanalysis,full_domain,125-300m aggregate (4 depths),4250250,temp_pred_absolute vs temperature_3d [depths 125..300m],exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - glorys)^2)) pooled across 4,250,250 pairs",True
GLORYS 500-1000m Aggregate RMSE,0.5762°C,rmse,GLORYS12V1 Reanalysis,full_domain,500-1000m aggregate (3 depths),3013600,temp_pred_absolute vs temperature_3d [depths 500..1000m],exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - glorys)^2)) pooled across 3,013,600 pairs",True
ARGO 0-100m Aggregate RMSE,2.0340°C,rmse,Independent In-Situ ARGO,arabian_sea,0-100m aggregate (8 depths),18668,temp_pred_absolute vs argo_temperature_3d [depths 0..100m],exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - argo)^2)) pooled across 18,668 pairs",True
ARGO 125-300m Aggregate RMSE,0.9758°C,rmse,Independent In-Situ ARGO,arabian_sea,125-300m aggregate (4 depths),5108,temp_pred_absolute vs argo_temperature_3d [depths 125..300m],exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - argo)^2)) pooled across 5,108 pairs",True
ARGO 500-1000m Aggregate RMSE,1.7414°C,rmse,Independent In-Situ ARGO,arabian_sea,500-1000m aggregate (3 depths),2128,temp_pred_absolute vs argo_temperature_3d [depths 500..1000m],exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - argo)^2)) pooled across 2,128 pairs",True
GLORYS 1000m Depth RMSE,0.6089°C,rmse,GLORYS12V1 Reanalysis,full_domain,depth_1000m,987600,"temp_pred_absolute[:,:,:,14] vs temperature_3d[:,:,:,14]",exports/final_depth_performance_reconciled.csv,"sqrt(mean((pred - glorys)^2)) over 987,600 points",True
ARGO 1000m Depth RMSE,2.9288°C,rmse,Independent In-Situ ARGO,arabian_sea,depth_1000m,664,"temp_pred_absolute[:,:,:,14] vs argo_temperature_3d[:,:,:,14]",exports/final_depth_performance_reconciled.csv,sqrt(mean((pred - argo)^2)) over 664 points,True
Qualifying Inversion Profiles,"16,918",count,inversion_profiles,full_domain,upper_100m,16918,inversion_profiles.csv,exports/final_inversion_summary.csv,"Screening of 1,116,650 profiles with delta_T >= 0.05°C in top 100m",True
Qualifying Inversion Segments,"19,233",count,inversion_segments,full_domain,upper_100m,19233,inversion_candidates.csv,exports/final_inversion_summary.csv,Discrete adjacent depth delta_T >= 0.05°C segments,True
